id;name;link;specialization;films_years;description;path_to_folder
41130;Капитан Хэггерти;https://www.kinopoisk.ru/name/117593;Актер;22, 1971 — 2018;Жара в Лос-Анджелесе;actors_usa/41130
56293;Брук Лэнгтон;https://www.kinopoisk.ru/name/9553;Актриса,Продюсер;56, 1989 — 2019;Дублеры,Жизнь как приговор,Сверхъестественное,Менталист,Огни ночной пятницы,Кости;actors_usa/56293
12441;Крис Купер;https://www.kinopoisk.ru/name/6145;Актер,Режиссер,Продюсер;113, 1964 — 2022;Октябрьское небо,Патриот,Фаворит,Идентификация Борна,Помни меня,Одинокий голубь,11.22.63,Полиция Майами: Отдел нравов,Закон и порядок;actors_usa/12441
27849;Кэт Гарсиа;https://www.kinopoisk.ru/name/4133192;Актриса;1, 2013 — 2013;;actors_usa/27849
7454;Майкл Зеген;https://www.kinopoisk.ru/name/574500;Актер;44, 1993 — 2024;Милая Фрэнсис,Бруклин,Удивительная миссис Мейзел,Сопрано,Подпольная империя,Хорошая жена,Ходячие мертвецы;actors_usa/7454
22661;Эмори Коэн;https://www.kinopoisk.ru/name/1615706;Актер,Продюсер;35, 2008 — 2023;Выстрел в пустоту,Место под соснами,Бруклин,Голубой байу,ОА,Жизнь как шоу,Самый громкий голос;actors_usa/22661
37361;Констанс Даулинг;https://www.kinopoisk.ru/name/212352;Актриса;19, 1944 — 1954;;actors_usa/37361
14912;Янктон Хэттен;https://www.kinopoisk.ru/name/153146;Актер;4, 1984 — 1986;Место в сердце;actors_usa/14912
30647;Джон Лури;https://www.kinopoisk.ru/name/17305;Актер,Композитор,Режиссер,Сценарист;46, 1978 — 2021;Вне закона,Более странно, чем в раю,Таинственный поезд,Отпуск без конца,Достать коротышку,Тюрьма «ОZ»;actors_usa/30647
25375;Лиза Энн;https://www.kinopoisk.ru/name/430276;Актриса,Режиссер;208, 1994 — 2017;Училки;actors_usa/25375
20118;Питер Галлахер;https://www.kinopoisk.ru/name/1395;Актер,Сценарист;163, 1977 — 2022;Приговор,Авансцена,Пока ты спал,Секс, ложь и видео,Адам,Необыкновенный плейлист Зои,О.С. — Одинокие сердца,Уитни,Тайные связи,Дом совы;actors_usa/20118
